Organisation,Organisation Label,UPRN,AssetCode,Site Address,GeoX,GeoY,TenureType,Tenure Detail,Holding Type
Cheltenham Borough Council,23UB,100121233657,09/02652/BLDG,20 Lynworth Exchange Mendip Road Cheltenham Gloucestershire GL52 5EQ,396408,223352,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121233658,09/02653/BLDG,21 Lynworth Exchange Mendip Road Cheltenham Gloucestershire GL52 5EQ,396408,223358,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121233662,09/00686/LAND,Whaddon Bowling Club Whaddon Road Cheltenham Gloucestershire GL52 5NA,395880,223029,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,100121233701,09/02648/BLDG,Parklands Community Centre Wymans Road Cheltenham Gloucestershire GL52 5PR,396078,223133,Freehold,Leasehold,Community Buildings
Cheltenham Borough Council,23UB,100121233710,09/02665/BLDG,75 Priors Road Cheltenham Gloucestershire GL52 5AL,396669,222734,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121234850,09/05346/BLDG,55 Bath Road Cheltenham Gloucestershire GL53 7HG,394980,222005,Freehold,Leasehold,Buildings Declared Surplus
Cheltenham Borough Council,23UB,100121234951,10/00213/SITE,Balcarras School East End Road Charlton Kings Cheltenham Gloucestershire GL53 8QE,397054,220310,,Occupied by local authority,
Cheltenham Borough Council,23UB,100121235054,09/04822/BLDG,Kings Hall Church Piece Charlton Kings Cheltenham Gloucestershire GL53 8JN,396582,220343,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,100121370353,09/04832/BLDG,Scout Hut Central Cross Drive Cheltenham Gloucestershire GL50 4RA,395370,223200,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,100121370376,09/00877/BLDG,Charlton Kings Nursery School Church Street Charlton Kings Cheltenham Gloucestershire GL53 8AP,396546,220449,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121370414,09/00119/BLDG,51 Clarence Street Cheltenham Gloucestershire GL50 3JT,394750,222516,Freehold,Occupied by local authority,Cultural Buildings Operational
Cheltenham Borough Council,23UB,100121370423,09/00042/SITE,Sandford Park College Road Cheltenham Gloucestershire,395223,221767,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,100121370423,09/04864/STRUC,Sandford Park College Road Cheltenham Gloucestershire,395223,221767,Freehold,Leasehold,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,100121370433,09/00937/BLDG,St Margarets Hall Coniston Road Cheltenham Gloucestershire GL51 3NX,392569,221188,Freehold,Leasehold,Community Buildings
Cheltenham Borough Council,23UB,100121370456,09/02654/BLDG,1 Rowanfield Exchange Cheltenham Gloucestershire GL51 8AU,393222,222809,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121370457,09/02655/BLDG,6 Rowanfield Exchange Cheltenham Gloucestershire GL51 8AU,393219,222796,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121370458,09/02656/BLDG,11 Rowanfield Exchange Cheltenham Gloucestershire GL51 8AU,393216,222781,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121370459,09/02657/BLDG,12 Rowanfield Exchange Cheltenham Gloucestershire GL51 8AU,393222,222778,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121370460,09/02659/BLDG,24 Rowanfield Exchange Cheltenham Gloucestershire GL51 8AU,393219,222759,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121370496,09/02963/LAND,Car Park Edinburgh Place Cheltenham Gloucestershire GL51 7SA,392224,222615,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,100121370572,09/00076/BLDG,Multi Storey Car Park Grosvenor Terrace Cheltenham Gloucestershire GL52 2SA,395230,222319,Leasehold,Licence,Car Parks
Cheltenham Borough Council,23UB,100121370572,09/02408/BLDG,Multi Storey Car Park Grosvenor Terrace Cheltenham Gloucestershire GL52 2SA,395230,222319,Leasehold,Licence,Public Conveinences
Cheltenham Borough Council,23UB,100121370572,09/00045/LAND,Multi Storey Car Park Grosvenor Terrace Cheltenham Gloucestershire GL52 2SA,395230,222319,Freehold,Licence,Commercial
Cheltenham Borough Council,23UB,100121370647,18/00021/BLDG,Caffe Nero 211 High Street Cheltenham Gloucestershire GL50 3HH,394922,222549,Leasehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121370718,09/00841/SITE,Priors Farm Imjin Road Cheltenham Gloucestershire GL52 5JX,397393,222790,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,100121370971,09/01005/LAND,Coxs Meadow Old Bath Road Cheltenham Gloucestershire GL53 7DF,395565,221343,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,100121371248,09/00050/LAND,Car Park Sherborne Place Cheltenham Gloucestershire,395311,222409,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,100121371248,09/00074/LAND,Car Park Sherborne Place Cheltenham Gloucestershire,395311,222409,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,100121371337,09/00468/BLDG,14 St James Street Cheltenham Gloucestershire GL52 2SH,395243,222174,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121371337,09/00466/BLDG,14 St James Street Cheltenham Gloucestershire GL52 2SH,395243,222174,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121371471,09/00667/BLDG,Whaddon Lodge Pavillion Whaddon Road Cheltenham Gloucestershire GL52 5NA,395911,222947,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,100121381125,09/00023/SITE,Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121381125,09/05293/BLDG,Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121381476,09/05370/BLDG,Regent Arcade Regent Street Cheltenham Gloucestershire,394967,222333,Leasehold,Licence,Car Parks
Cheltenham Borough Council,23UB,100121381801,09/00559/BLDG,Clubhouse Everest Road Cheltenham Gloucestershire GL53 9LG,395528,219936,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,100121381838,09/02961/BLDG,Coronation Square Edinburgh Place Cheltenham Gloucestershire GL51 7SA,392332,222680,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,100121381838,13/00004/LAND,Coronation Square Edinburgh Place Cheltenham Gloucestershire GL51 7SA,392332,222680,Freehold,Occupied by local authority,Commercial
Cheltenham Borough Council,23UB,100121382030,09/00001/SITE,Montpellier Gardens Montpellier Walk Cheltenham Gloucestershire,394551,221789,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,200001878525,09/00044/LAND,Sandford Lido Keynsham Road Cheltenham Gloucestershire GL53 7PU,395266,221674,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,200002088528,09/01047/LAND,Public Open Space At Junction Of Hatherley Court Road Cheltenham Gloucestershire,393586,221496,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002088841,09/01009/LAND,Open Space Land At Cirencester Road Charlton Kings Cheltenham Gloucestershire,396232,220332,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002500986,09/02660/LAND,Croft Allotments Horsefair Street Charlton Kings Cheltenham Gloucestershire,396585,220194,Freehold,Licence,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002676479,15/00135/BLDG,27 Bath Road Cheltenham Gloucestershire,395049,222112,Freehold,Leasehold,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,200002676518,09/02391/BLDG,Oakley Community Resource Centre 113A Clyde Crescent Cheltenham Gloucestershire GL52 5QJ,396558,222953,Freehold,Leasehold,Community Buildings
Cheltenham Borough Council,23UB,200002676518,14/00032/LAND,Oakley Community Resource Centre 113A Clyde Crescent Cheltenham Gloucestershire GL52 5QJ,396558,222953,Freehold,Occupied by local authority,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,200002676518,11/00024/BLDG,Oakley Community Resource Centre 113A Clyde Crescent Cheltenham Gloucestershire GL52 5QJ,396558,222953,Freehold,Leasehold,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002676580,09/05030/BLDG,Hesters Way Community Association Brooklyn Road Cheltenham Gloucestershire GL51 8DS,392424,222533,Freehold,Leasehold,Community Buildings
Cheltenham Borough Council,23UB,200002676835,09/00422/BLDG,Pittville Pump Room East Approach Drive Cheltenham Gloucestershire GL52 3JE,395472,223719,Freehold,Leasehold,Cultural Buildings Operational
Cheltenham Borough Council,23UB,200002677466,09/05383/BLDG,Stanton Rooms Church Street Charlton Kings Cheltenham Gloucestershire,396593,220376,Freehold,Leasehold,Community Buildings
Cheltenham Borough Council,23UB,200002677692,09/00015/LAND,Cheltenham Bus Station Royal Well Road Cheltenham Gloucestershire,394703,222366,Freehold,Occupied by local authority,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,200002677692,09/00072/LAND,Cheltenham Bus Station Royal Well Road Cheltenham Gloucestershire,394703,222366,Freehold,Occupied by local authority,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,200002677692,10/00070/BLDG,Cheltenham Bus Station Royal Well Road Cheltenham Gloucestershire,394703,222366,Freehold,Occupied by local authority,Miscellaneous Operational
Cheltenham Borough Council,23UB,200002677692,23/00011/LAND,Cheltenham Bus Station Royal Well Road Cheltenham Gloucestershire,394703,222366,Freehold,Occupied by local authority,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,200002678450,09/00018/LAND,Portland Street Car Park Portland Street Cheltenham Gloucestershire GL52 2NX,395126,222786,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,200002678522,12/00001/STRUC,Pittville Gates Pittville Lawn Cheltenham Gloucestershire,395296,222845,Freehold,Occupied by local authority,Street Furniture
Cheltenham Borough Council,23UB,200002678607,09/02962/BLDG,Edinburgh House Goldsmith Road Cheltenham Gloucestershire,392316,222656,Freehold,Licence,Commercial
Cheltenham Borough Council,23UB,200002678619,09/05375/STRUC,Bridge High Street Cheltenham Gloucestershire,394287,222981,Freehold,Occupied by local authority,Bridges
Cheltenham Borough Council,23UB,200002680233,09/00003/BLDG,The Chalet Montpellier Gardens Montpellier Walk Cheltenham Gloucestershire GL50 1UW,394519,221809,Freehold,Leasehold,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002680416,09/02669/LAND,St Peters Playing Field St Peters Close Cheltenham Gloucestershire,393520,223382,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002680416,09/04411/LAND,St Peters Playing Field St Peters Close Cheltenham Gloucestershire,393520,223382,Freehold,Leasehold,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002680986,23/00026/RES,90 River Leys Cheltenham Gloucestershire GL51 9SA,392747,224290,Freehold,Occupied by local authority,
Cheltenham Borough Council,23UB,200002681475,09/00013/BLDG,Municipal Offices Cheltenham Borough Council Promenade Cheltenham Gloucestershire GL50 9SA,394734,222304,Freehold,Occupied by local authority,Offices
Cheltenham Borough Council,23UB,200002681596,19/00009/BLDG,The Holy Name Hall Pennine Road Cheltenham Gloucestershire GL52 5HB,396701,223367,Freehold,Leasehold,Miscellaneous Operational
Cheltenham Borough Council,23UB,200002681632,09/05283/LAND,Midwinter Allotments Gardners Lane Cheltenham Gloucestershire,394279,223894,Freehold,Licence,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002681632,10/00019/LAND,Midwinter Allotments Gardners Lane Cheltenham Gloucestershire,394279,223894,Freehold,Licence,Land Declared Surplus
Cheltenham Borough Council,23UB,200002681719,09/00008/SITE,Imperial Garden Promenade Cheltenham Gloucestershire,394689,222019,Freehold,Leasehold,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002681719,09/05392/LAND,Imperial Garden Promenade Cheltenham Gloucestershire,394689,222019,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,200002681986,09/00117/SITE,Art Gallery And Museum Clarence Street Cheltenham Gloucestershire GL50 3JL,394726,222539,Freehold,Leasehold,Cultural Buildings Operational
Cheltenham Borough Council,23UB,200002682019,09/00073/LAND,Chapel Walk Car Park Chapel Walk Cheltenham Gloucestershire,394643,222251,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,200002682019,09/00021/LAND,Chapel Walk Car Park Chapel Walk Cheltenham Gloucestershire,394643,222251,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,200002682129,09/04837/BLDG,Pittville Recreation Centre Tommy Taylors Lane Cheltenham Gloucestershire GL50 4RN,394698,223516,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,200002682129,09/04835/BLDG,Pittville Recreation Centre Tommy Taylors Lane Cheltenham Gloucestershire GL50 4RN,394698,223516,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,200002682129,09/00421/BLDG,Pittville Recreation Centre Tommy Taylors Lane Cheltenham Gloucestershire GL50 4RN,394698,223516,Freehold,Leasehold,Sports Facilities
Cheltenham Borough Council,23UB,200002682129,09/04830/BLDG,Pittville Recreation Centre Tommy Taylors Lane Cheltenham Gloucestershire GL50 4RN,394698,223516,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,200002682129,09/04829/BLDG,Pittville Recreation Centre Tommy Taylors Lane Cheltenham Gloucestershire GL50 4RN,394698,223516,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,200002682129,09/05368/LAND,Pittville Recreation Centre Tommy Taylors Lane Cheltenham Gloucestershire GL50 4RN,394698,223516,Freehold,Leasehold,Car Parks
Cheltenham Borough Council,23UB,200002682129,09/04828/BLDG,Pittville Recreation Centre Tommy Taylors Lane Cheltenham Gloucestershire GL50 4RN,394698,223516,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,200002682129,09/04838/BLDG,Pittville Recreation Centre Tommy Taylors Lane Cheltenham Gloucestershire GL50 4RN,394698,223516,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,200002682163,09/00685/LAND,Cheltenham Town Football Club Whaddon Road Cheltenham Gloucestershire GL52 5NA,395955,223082,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,200002682163,09/00684/LAND,Cheltenham Town Football Club Whaddon Road Cheltenham Gloucestershire GL52 5NA,395955,223082,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,200002682348,09/00999/LAND,Land Off Barrington Avenue The Reddings Cheltenham Gloucestershire,390828,221157,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002682365,09/00175/SITE,Winston Churchill Memorial Gardens Market Street Cheltenham Gloucestershire,394257,222849,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,200002682365,09/00176/LAND,Winston Churchill Memorial Gardens Market Street Cheltenham Gloucestershire,394257,222849,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,200002682365,23/00006/SITE,Winston Churchill Memorial Gardens Market Street Cheltenham Gloucestershire,394257,222849,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,200002682386,09/00020/BLDG,The Playhouse Theatre 51 - 53 Bath Road Cheltenham Gloucestershire GL53 7HG,394988,222024,Freehold,Leasehold,Cultural Buildings Non Operational
Cheltenham Borough Council,23UB,200002682390,14/00030/STRUC,Crimean War Memorial Promenade Cheltenham,394593,222012,Chattel,Occupied by local authority,Miscellaneous Non Operational
Cheltenham Borough Council,23UB,200002682460,09/00569/LAND,10 Sandford Park Place Cheltenham Gloucestershire GL52 6HP,395361,221803,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,200002682735,20/00010/LAND,Land Adjacent 6 Saville Close Cheltenham Gloucestershire GL50 4NE,395258,223699,Freehold,Leasehold,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,200002682763,09/00052/LAND,Car Park High Street Cheltenham Gloucestershire,394759,222764,Freehold,Licence,Car Parks
Cheltenham Borough Council,23UB,200002682763,23/00007/LAND,Car Park High Street Cheltenham Gloucestershire,394759,222764,Freehold,Licence,Car Parks
Cheltenham Borough Council,23UB,200002682926,09/00531/LAND,Hesters Way Park Princess Elizabeth Way Cheltenham Gloucestershire,391843,222477,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,200002682928,09/00474/LAND,Land At Colletts Drive Cheltenham Gloucestershire,393895,223086,Freehold,Occupied by local authority,Roads
Cheltenham Borough Council,23UB,200002683038,09/00004/STRUC,The Bandstand Montpellier Gardens Montpellier Terrace Cheltenham Gloucestershire,394558,221802,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002683085,09/00768/BLDG,Civic Amenity Site Swindon Road Cheltenham Gloucestershire,393605,223986,Freehold,Leasehold,Depot Industrial
Cheltenham Borough Council,23UB,200002683158,09/04817/LAND,Broadlands Pre School Centre Burrows Field Moorend Grove Cheltenham Gloucestershire GL53 0EY,394403,220110,Freehold,Leasehold,Recreational Land and Buildings
Cheltenham Borough Council,23UB,200002683210,09/02710/BLDG,Lynworth Hall Mendip Road Cheltenham Gloucestershire,396277,223461,Freehold,Leasehold,Community Buildings
Cheltenham Borough Council,23UB,200002683224,09/00006/BLDG,Cheltenham Town Hall Imperial Square Cheltenham Gloucestershire GL50 1QA,394750,222078,Freehold,Leasehold,Cultural Buildings Operational
Cheltenham Borough Council,23UB,200002683371,09/00012/LAND,Rodney Road Car Park Rodney Road Cheltenham Gloucestershire,394917,222091,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,200002683371,09/00071/LAND,Rodney Road Car Park Rodney Road Cheltenham Gloucestershire,394917,222091,Freehold,Occupied by local authority,Car Parks
Cheltenham Borough Council,23UB,200002683463,09/00863/LAND,King George V Playing Field Brooklyn Road Cheltenham Gloucestershire,392813,222816,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002683627,09/00561/LAND,Sandy Lane Playing Field Everest Road Cheltenham Gloucestershire,395572,219844,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002683627,09/00560/LAND,Sandy Lane Playing Field Everest Road Cheltenham Gloucestershire,395572,219844,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002683627,09/00558/SITE,Sandy Lane Playing Field Everest Road Cheltenham Gloucestershire,395572,219844,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002683702,09/04847/LAND,Daisy Bank Field Daisy Bank Road Cheltenham Gloucestershire,395096,219075,Freehold,Leasehold,Farmland and Farms
Cheltenham Borough Council,23UB,200002683726,09/00666/LAND,Whaddon Recreation Ground Whaddon Road Cheltenham Gloucestershire,395982,222889,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002683726,09/00665/LAND,Whaddon Recreation Ground Whaddon Road Cheltenham Gloucestershire,395982,222889,Freehold,Occupied by local authority,Open Space Land and Allottments
Cheltenham Borough Council,23UB,200002683739,17/00018/STRUC,Octagonal Pond - Imperial Gardens Imperial Square Cheltenham Gloucestershire,394663,222050,Freehold,Occupied by local authority,Art
Cheltenham Borough Council,23UB,200002683809,09/01063/LAND,Hatherley Park Hatherley Court Road Cheltenham Gloucestershire,393548,221261,Freehold,Occupied by local authority,"Parks, Gardens and open space"
Cheltenham Borough Council,23UB,200002687390,09/00019/LAND,Bath Parade Car Park Bath Road Cheltenham Gloucestershire GL53 7ZZ,395077,222039,Freehold,Licence,Car Parks
Cheltenham Borough Council,23UB,200002687579,09/00038/BLDG,14 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,200002687902,09/00120/BLDG,53 Clarence Street Cheltenham Gloucestershire GL50 3JT,394840,222490,Freehold,Leasehold,Cultural Buildings Operational
Cheltenham Borough Council,23UB,200002687903,09/00121/BLDG,55 Clarence Street Cheltenham Gloucestershire GL50 3LE,394740,222518,Freehold,Occupied by local authority,Cultural Buildings Operational
Cheltenham Borough Council,23UB,200002687954,09/01785/BLDG,Sandford Park Offices College Road Cheltenham Gloucestershire GL53 7HX,395278,221922,Freehold,Vacant,Commercial
Cheltenham Borough Council,23UB,200002688020,09/02658/BLDG,18 - 19 Rowanfield Exchange Cheltenham Gloucestershire GL51 8AU,393230,222768,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,200002688372,09/00046/BLDG,39 Grosvenor Street Cheltenham Gloucestershire GL52 2SQ,395286,222263,Freehold,Leasehold,Community Buildings
Cheltenham Borough Council,23UB,200002688627,09/00041/BLDG,17 Berkeley Mews High Street Cheltenham Gloucestershire GL50 1DY,395265,222126,Freehold,Leasehold,Commercial
Cheltenham Borough Council,23UB,200002688754,09/00177/BLDG,St Marys Mission High Street Cheltenham Gloucestershire GL50 3JA,394294,222890,Freehold,Leasehold,Sports Facilities
,,,,,,,,,
,,,,,,,,,
